domain,security_email,score,sources,source_url,snippet
99c.co.za,abuse@99c.co.za,5,direct,https://www.99c.agency/privacy-policy/,"eve we are using your personal information unlawfully, please let us know first (on <a href=""mailto:abuse@99c.co.za"">abuse@99c.co.za</a> or 021 460 5299). You may lodge a complaint to the Information "
agicap.com,bugbounty@agicap.com,5,direct,https://agicap.com/.well-known/security.txt,"Contact: mailto:bugbounty@agicap.com Expires: 2026-12-31T11:59:00Z Policy: https://agicap.com/en/bug-bounty/ Preferred-Languages: en, fr"
airtable.com,security@airtable.com,5,direct,https://airtable.com/.well-known/security.txt,report the # issue on our HackerOne bug bounty program at hackerone.com/airtable or contact # us at security@airtable.com. Contact: security@airtable.com Permission: none Policy: https://hackerone.com
alchemy.com,security@alchemy.com,5,direct,https://www.alchemy.com/security,"tices. If you identified a security issue with Alchemy, please report them through support or email security@alchemy.com.""/><link rel=""canonical"" href=""https://www.alchemy.com/security""/><meta propert"
alloy.app,security@alloy.app,5,direct,https://alloy.app/security,"cumentation. If you have any questions, please don&#x27;t hesitate to contact us at <a href=""mailto:security@alloy.app"">security@alloy.app</a>.</p></section><section><h2>Significant investment in our "
altertable.ai,security@altertable.ai,5,direct,https://altertable.ai/.well-known/security.txt,"ponsibility, and collaboration—so if you find a vulnerability, please let us know. Contact: mailto:security@altertable.ai Policy: https://altertable.ai/security-policy Hiring: https://altertable.ai/ca"
amplitude.com,security@amplitude.com,5,direct,https://amplitude.com/.well-known/security.txt,Contact: https://tracker.bugcrowd.com/amplitude Contact: mailto:security@amplitude.com Policy: https://amplitude.com/docs/faq/security-and-privacy Hiring: https://amplitude.com/careers P
apify.com,security@apify.com,5,direct,https://apify.com/.well-known/security.txt,Policy: https://docs.apify.com/platform/security#vulnerability-disclosure-policy Contact: mailto:security@apify.com Expires: 2035-01-01T00:00:00.000Z Preferred-Languages: en Canonical: https://apify.c
appcues.com,security@appcues.com,5,direct,https://uploads-ssl.webflow.com/5c7d318eeaea1d6e1198d906/66607060ea22b8560dee5e51_security.txt,Contact: mailto:security@appcues.com Expires: 2025-06-05T04:00:00.000Z Preferred-Languages: en Policy: https://trust.appcues.com/
articulate.com,security-disclosure@articulate.com,5,direct,https://www.articulate.com:443/.well-known/security.txt,"wd. # If you believe you've found a security issue and would like to request access, # please email security-disclosure@articulate.com with your: # - Bugcrowd username # - Bugcrowd email address (@bug"
asana.com,security@asana.com,5,direct,https://asana.com/.well-known/security.txt,Contact: https://bugcrowd.com/asana Contact: mailto:security@asana.com Expires: 2026-12-31T23:59:59.000Z Acknowledgments: https://bugcrowd.com/engagements/asana/hall_of_f
ashbyhq.com,security@ashbyhq.com,5,direct,https://www.ashbyhq.com/resources/security,"a security concern, question, or are aware of an incident, please send an email to <a href=""mailto:security@ashbyhq.com"" class=""c-efuyxN c-efuyxN-hJjffa-color-primary"">security@ashbyhq.com</a>, a care"
